person,bead_colour,n_beads,Duration_in_Seconds,Vsearch_YesNo,Vsearch_Strategy,Bucket_YesNo,Bucket_Strategy,Gender,Ethnicity,Age,Height,Weight,Occupation,AreaOfStudy,Education,VidGame_YesNo,VidGame_Type,VidGame_Time,Sports_YesNo,Sports_Type,Sports_Time,Hobbies_YesNo,Hobbies_Type,Hobbies_Time,MentIll_YesNo,MentIll_Type,BFI2_01,BFI2_02,BFI2_03,BFI2_04,BFI2_05,BFI2_06,BFI2_07,BFI2_08,BFI2_09,BFI2_10,BFI2_11,BFI2_12,BFI2_13,BFI2_14,BFI2_15,BFI2_16,BFI2_17,BFI2_18,BFI2_19,BFI2_20,BFI2_21,BFI2_22,BFI2_23,BFI2_24,BFI2_25,BFI2_26,BFI2_27,BFI2_28,BFI2_29,BFI2_30,BFI2_31,BFI2_32,BFI2_33,BFI2_34,BFI2_35,BFI2_36,BFI2_37,BFI2_38,BFI2_39,BFI2_40,BFI2_41,BFI2_42,BFI2_43,BFI2_44,BFI2_45,BFI2_46,BFI2_47,BFI2_48,BFI2_49,BFI2_50,BFI2_51,BFI2_52,BFI2_53,BFI2_54,BFI2_55,BFI2_56,BFI2_57,BFI2_58,BFI2_59,BFI2_60,ProScale_01,ProScale_02,ProScale_03,ProScale_04,ProScale_05,ProScale_06,ProScale_07,ProScale_08,ProScale_09,ProScale_10,ProScale_11,ProScale_12,ProScale_13,ProScale_14,ProScale_15,ProScale_16,ProScale_17,ProScale_18,ProScale_19,ProScale_20,BIS11_01,BIS11_02,BIS11_03,BIS11_04,BIS11_05,BIS11_06,BIS11_07,BIS11_08,BIS11_09,BIS11_10,BIS11_11,BIS11_12,BIS11_13,BIS11_14,BIS11_15,BIS11_16,BIS11_17,BIS11_18,BIS11_19,BIS11_20,BIS11_21,BIS11_22,BIS11_23,BIS11_24,BIS11_25,BIS11_26,BIS11_27,BIS11_28,BIS11_29,BIS11_30
14,black,3,591,0,Didn't use one,1,"picked up the furthest one first, then collected the second on the way back",Female,White/Scottish,22,4ft 6in,109lbs,Student,Politics and International Relations,third year undergrad university,0,NA,NA,0,NA,NA,1,"Reading, crafts",10-20,1,Anxiety and Depression,2,5,5,4,1,5,5,4,5,5,1,2,4,2,5,2,1,4,4,3,5,2,4,5,1,4,5,4,2,1,4,4,3,5,5,2,1,2,2,5,4,1,4,2,1,5,1,1,1,5,2,5,3,2,3,5,4,2,4,5,4,4,4,1,5,1,2,4,4,4,2,4,4,1,2,1,1,3,4,4,3,2,4,4,1,3,4,3,2,2,3,4,2,1,4,1,2,1,2,3,1,2,1,1,1,3,2,2,4,3
15,orange,2,651,0,"I did not use much of a strategy. On the side where the lines were tilted in different directions, I tried to go row by row, but it was mainly looking at the screen in a random pattern.",1,I picked up the the furthest away bucket and then retrieved the closer one on the way back so I was carrying the heaviest weight of the two buckets for the shortest period of time possible,Female,White British,23,"5""7.5",85kg,Management Consultant,n/a,Masters,1,"Call of Duty, Sims",1,1,Netball,1 hour,1,"Cooking, playing the violin, netball, reading",12 hours,0,NA,5,4,1,2,2,5,5,2,4,4,1,4,5,2,3,1,1,4,3,5,5,2,2,5,1,3,2,1,3,4,2,4,4,4,5,1,2,5,2,2,3,2,5,4,4,5,1,1,2,3,1,5,4,2,1,5,4,4,5,4,2,1,4,3,1,5,1,5,2,1,5,2,5,3,4,3,2,4,2,4,3,2,4,3,1,2,4,2,3,3,1,3,4,3,3,1,1,1,1,4,1,3,2,1,2,2,2,1,3,4
17,orange,1,745,0,"at first I didn't really use a strategy, but then I realised that scanning through the lines in a structured way made more sense.",1,"I used a consistent strategy, part from the first run. I collected the last bucket first, as this seemed to make more sense to me (less effort).",female,mixed white,22,168.5cm,58,student,Economics & International Relations,3rd year university,0,NA,NA,1,Aerial Silks & Aerial Rope & Gym & hiking,8,1,"drawing, reading, baking, also see sports",depends - 4ish,0,NA,4,5,1,3,1,4,5,1,4,5,1,2,1,3,4,2,1,5,4,5,4,3,1,4,1,1,4,1,4,1,2,4,5,1,4,3,1,5,1,4,5,1,5,4,1,5,1,1,4,1,3,5,5,1,2,5,4,1,4,4,2,1,5,2,1,5,1,4,1,1,1,2,4,4,4,1,1,4,1,5,4,2,1,1,1,4,4,3,4,3,1,3,4,3,4,3,3,2,2,2,3,1,1,2,1,1,2,1,3,3
18,orange,2,794,1,first the easier side where all were aligned in the same way and the hard side which is the one with the mess,1,after the first time and seeing what was in the bucket I retrieved the one that was further away first,female,white,24,163 cm,55 kg,student,psychology,high school diploma,0,NA,NA,1,"yoga, climbing",5,1,"Wicca stuff, poetry, tv shows",12,0,NA,2,5,2,5,1,4,5,4,5,4,2,1,4,4,4,4,1,2,4,4,4,2,5,4,1,2,4,4,4,2,4,5,2,2,4,2,4,4,4,4,2,2,4,4,1,2,2,2,2,1,1,4,4,4,1,2,4,4,4,5,4,4,2,4,4,5,2,4,2,2,2,4,4,1,4,2,2,4,2,4,2,1,1,2,1,4,3,3,3,1,1,3,2,1,4,4,3,3,3,3,3,3,1,3,2,3,3,2,2,2
19,black,1,751,1,"Had a look at the side with even lines first, then looked at the messy side. Because it was easiest, sometimes the line on the even lines side popped up in my vision even before looking.",1,I started with the closer one and then retrieved the one farther away. Probably unconsciously but I didn't change my behaviour later because I was conscious about being studied.,female,white,22,162cm,62kg,student,economics and business management,undergrad in 5 months,0,NA,NA,1,"Used to play floor ball actively, now mainly squash / gym / running",4-5,1,"playing music, reading books",4 wish,0,NA,4,5,4,4,2,2,5,4,3,4,2,2,5,2,3,4,2,4,4,5,2,1,4,4,2,2,4,2,4,2,4,3,3,4,4,2,2,3,4,5,2,3,5,2,3,4,2,2,2,2,4,4,4,2,2,4,4,4,2,2,4,4,2,4,2,4,4,2,4,3,4,4,5,4,2,4,3,3,4,2,2,2,3,2,2,3,1,2,2,1,1,3,2,2,3,2,2,2,2,3,2,2,1,2,2,2,2,2,2,3
20,orange,1,711,0,"I would look everywhere and essentially give up if I couldn't find it. At the same time, I would also base my decision on whether I had a feeling of there being a tilted line or not",1,I got the furthest bucket and then the closest one to make as less journeys as possible,Female,White,21,163 cm,65 kg,Student,Sociology,University,0,NA,NA,0,NA,NA,1,Singing,At least an hour everyday,0,NA,5,5,4,1,1,4,5,5,2,5,1,3,4,5,5,2,1,3,4,5,2,2,4,2,1,4,5,1,2,1,2,4,1,5,5,2,4,3,4,5,4,4,5,1,1,5,1,4,1,2,4,5,1,4,2,5,1,4,5,5,5,4,1,2,1,4,4,4,5,5,5,5,5,1,1,1,2,1,5,1,2,4,1,2,1,3,4,2,2,1,2,4,1,4,2,3,3,2,3,1,4,4,1,2,3,2,1,2,1,4
21,black,3,469,0,NA,1,I went for the furthest away bucket first and on the way back picked up the other bucket and I used my right arm to pick up the furthest bucket,female,white Latina,21,175cm,55kg,student,psychology,3rd year uni,0,NA,NA,0,NA,NA,1,"drawing, embroidery",3,0,NA,4,4,4,3,1,2,5,4,3,5,2,2,4,4,3,3,2,2,3,5,2,2,4,4,1,4,5,4,4,1,3,3,2,4,5,4,2,4,2,5,3,1,4,4,2,4,3,4,2,2,4,5,3,2,1,4,4,4,2,3,4,2,4,1,5,1,4,1,5,4,1,4,5,4,4,5,5,2,5,2,3,3,1,3,2,3,2,3,3,3,1,3,2,2,4,2,2,2,2,2,2,1,1,3,2,4,2,3,4,3
23,black,1,1548,1,"checked the side where all more or less the same first, then line by line on the other side",1,went to furthest away bucket first so was not carrying two buckets at once,female,white British,60,5 ft 3 inches,9 stone 3 lbs,retired,n/a,Degree,0,NA,NA,1,walking/running on treadmill,2 hours approx,1,"singing, reading, hill walking",varies from week week,0,NA,4,5,1,2,1,5,5,1,5,4,1,4,5,1,1,2,1,5,4,5,2,2,2,4,4,4,5,1,5,4,4,5,5,5,5,4,1,5,1,1,2,2,5,2,1,4,1,1,1,1,4,5,5,1,1,5,4,1,2,2,2,1,2,2,2,4,2,4,2,2,2,4,4,4,2,4,2,4,2,5,4,1,3,3,1,2,3,3,3,4,2,3,4,2,3,2,2,2,2,3,2,2,2,3,1,2,3,2,3,2
24,orange,1,984,1,Went first to the half with all lines slanted to left - right-slanted line would jump out.  Then went to the random section and scanned line by line.  Had to me much more careful here.  Due to eyes tiring I occasionally focused at the centre of each line and tried to use peripheral vision,1,"Went to the furthest bucket, picked that up and picked up the nearest bucket on the way back - quickest and least work",Male,White British,60,1.8m,75kg,IT Consultant,NA,Masters,1,Solitaire,1,0,NA,NA,1,Music performance,6-10,0,NA,4,4,5,4,1,2,5,3,4,5,1,4,5,3,4,4,2,2,3,5,3,1,3,4,1,3,4,3,4,2,4,4,1,5,5,2,2,4,3,4,2,2,4,3,1,3,2,2,2,1,2,5,4,2,1,4,4,2,1,4,4,4,2,1,1,5,2,4,4,3,4,4,4,2,3,2,2,2,4,2,2,2,3,1,2,2,1,3,3,2,1,3,2,1,3,2,1,1,2,2,1,2,1,2,2,2,2,1,3,2
26,orange,2,837,0,At first I was just looking for the line non-systematically kind of all over the place. Then I searched for it by row and then I tried by line from up-down.,0,"I started walking from the left side and brought the buckets one at a time, starting from the closest one. I brought the first bucket on top of the right-hand box and the second one on the left.",Male,White,22,180,65,Student,Archaeology,High School,0,NA,NA,0,NA,NA,1,Writing prose and poetry,2-3,0,NA,5,5,2,1,1,4,4,2,4,5,2,2,4,5,4,2,1,4,5,5,4,4,2,4,1,1,5,5,1,4,4,5,5,5,5,1,5,5,5,5,1,2,2,1,1,5,2,1,4,1,2,4,5,4,1,4,5,5,5,5,4,2,5,4,1,5,1,4,4,2,1,5,5,5,5,1,1,5,1,5,2,3,3,3,3,4,4,3,3,3,4,3,1,4,4,2,4,2,4,2,3,3,2,1,3,4,2,2,3,3
27,black,1,983,1,"If the tilted line was not on the half of the screen where the tilted lines faced in the same direction, I scanned the lines between the bottom line and the top line on the other half of the screen to see if it was there.",1,"I first walked to the the bucket that was furthest from where I was standing, I picked that bucket up and as I was walking back I picked up the second bucket.",Man,White,23,168,56,Student,International Relations and Sociology,Finished third year of university,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,4,5,4,1,3,2,5,5,2,5,4,3,4,4,2,3,5,4,4,4,1,1,5,3,1,5,4,3,3,4,4,4,4,5,4,4,1,2,3,5,2,2,4,4,1,2,3,2,1,1,5,5,4,5,1,2,4,1,1,3,4,1,4,4,3,4,4,1,5,3,3,5,4,2,1,5,4,2,4,1,2,1,1,2,2,4,2,4,2,3,1,4,2,1,4,1,1,2,1,3,1,1,4,1,1,4,3,2,2,2
28,orange,3,729,0,I checked the side with all the lines the same first to rule it out. Then I did the edges of the inconsistent side then line by line. I did this most of the time but not every time.,1,"Pick up the bucket furthest away first, then on the way back pick up the other one. Less weight to carry over the distance.",Female,White Scottish,21,"5'5""",12 stone,Student,genetics and immunology,BSc,0,NA,NA,1,tennis,2,1,"swimming, scouts",4,1,Spacial auditory processing disorder,5,5,4,2,4,3,5,4,4,5,2,4,5,4,4,1,1,5,4,3,5,1,4,3,2,3,4,5,2,4,3,5,4,4,3,4,4,4,4,3,4,5,4,1,5,5,1,4,1,1,1,5,4,3,4,5,5,1,4,5,4,1,5,3,4,1,2,4,1,1,1,1,5,5,5,1,5,4,4,5,4,1,2,3,2,2,4,3,2,1,1,3,4,2,4,2,1,1,2,2,3,2,3,1,2,3,2,1,4,4
29,orange,3,1081,0,scanning or just gut feeling!,0,"sometimes I got the further one first, sometimes the closer one! I kept my walking pattern relatively the same- right side, then left side. it was sick",female,white like the bread,23,"5' 6""",65 kg,student,psychology,currently fourth year uni,0,NA,NA,1,"weightlifting, jogging, and yoga",8,1,"paint, read, write",6,0,NA,5,5,5,4,1,5,3,4,4,5,2,5,4,4,4,1,4,2,4,5,5,5,3,4,1,1,3,4,2,1,3,4,2,3,5,3,4,4,2,5,5,3,3,2,1,5,4,2,3,1,3,2,4,2,2,4,4,4,4,4,4,1,3,2,3,3,2,4,4,2,1,4,5,2,1,2,2,4,2,4,3,2,3,3,2,2,4,3,3,2,1,2,2,3,2,3,3,2,3,2,1,2,1,2,2,3,3,2,2,3
30,black,2,653,1,looked at the side where they were all the same and then scanned the other side and then if I still didn't see it I would go from top to bottom,1,went for the bucket the furthest away and then the close one and brought them back together,woman,white European,22,158cm,about 60kg,student,psychology,high school,0,NA,NA,0,NA,NA,1,"yoga, swimming, watching tv series",20,1,"depression, anxiety",2,5,4,2,4,4,4,2,4,5,4,4,4,4,4,4,1,4,4,5,5,1,5,4,1,1,4,2,2,2,5,5,2,4,5,1,2,4,4,5,1,4,4,2,1,2,1,4,1,1,2,5,5,4,1,4,2,2,4,4,5,4,1,1,5,1,5,1,5,4,1,5,1,2,2,5,5,1,5,2,4,1,1,2,2,3,3,4,2,4,1,4,4,2,4,1,1,1,1,4,2,2,1,2,1,4,1,2,4,4
31,black,1,937,0,"I looked at the area of more consistent lines first to find to find if one was standing out, and then moved to the more random lines because if was harder to spot in this area. I tried to imagine an X with both lines at 45 degrees to see if any of the lines fit that image",1,I walked on the left side of the buckets and went to the furthest away bucket then took the closer bucket on the way back,Female,Caucasian,21,"5'4""",125 lb,Student,Chemistry,Undergraduate,1,Open world and racing,1-2 hours,0,NA,NA,1,"Painting, photography, and weight lifting",8 hours,1,"panic disorder, generalised anxiety, depression, OCD",5,5,4,2,3,2,5,5,5,5,4,5,2,4,5,4,5,4,4,5,2,2,5,4,1,2,5,5,2,1,4,4,3,5,5,2,1,3,4,5,2,4,3,2,1,4,1,4,1,3,4,5,2,4,1,4,4,4,4,5,5,4,1,1,5,4,5,1,1,5,1,5,4,2,2,4,4,1,5,2,2,2,1,3,2,4,2,2,2,4,3,4,2,2,4,2,3,2,1,2,2,1,1,3,1,4,2,2,1,3
32,orange,1,1101,1,"I gave a quick look at the side where most or all lines were pointed to the other direction because I expected that the target line would pop up clearly, and then tried to search the other side row by row.",1,"I walked straight to the bucket that far further away and picked that one up first and then picket the other one up on the way back, because I thought this would be most efficient.",Female,Caucasian,26,169cm,65kg,student,Psychology,Undergraduate degree,0,NA,NA,1,"Classes at gym, yoga",5,1,"Painting, reading, yoga",6,0,NA,4,5,2,1,1,2,4,4,4,5,2,2,4,4,4,4,1,4,4,5,2,2,5,2,2,2,4,4,2,2,4,4,4,5,5,2,4,2,4,4,3,4,4,2,1,2,2,2,1,2,4,4,4,4,2,4,4,4,4,4,5,5,2,3,4,1,4,1,4,5,1,5,4,1,1,4,4,2,4,2,3,3,1,2,2,3,2,2,2,4,2,4,2,2,4,2,2,2,3,3,2,1,2,2,2,3,3,2,4,2
34,black,1,826,1,I checked first the half of the screen where the majority of the lines where in one direction and then proceeded to look at the other half mostly top to bottom.,1,"Pretty much trying to get them while passing in straight line, grabbing the further one first then retrieving the closer one while returning.",female,white,21,161 cm,NA,undergraduate,Psychology,high school diploma,0,NA,NA,1,dancing,3 to 5,1,reading,5 to 9,0,NA,4,5,4,3,5,4,5,4,2,5,1,2,4,4,4,4,5,3,3,5,3,1,3,3,2,2,4,4,3,2,4,4,3,4,5,3,3,4,3,3,4,3,4,4,1,4,1,1,2,3,3,5,5,3,3,5,3,4,3,3,4,4,2,3,2,4,3,4,4,4,3,4,5,2,3,2,2,3,4,4,3,2,3,2,2,3,3,2,2,3,1,2,3,2,2,1,2,3,2,2,2,2,1,1,1,2,2,2,2,2
35,black,3,836,1,I would look at the side the most line pointed to one direction and then to the other. it was just easier to see it that way.,1,I went for the one closes to me first and then to the other. I thought it would be the fastest.,FEMALE,SCOTTISH,19,5'6,NA,STUDENT,PSYCHOLOGY,HNC,1,STORY BASED,7,1,1,4,1,ART,13,1,"dyslexia, anxiety, mild depression",4,5,5,1,5,3,5,5,3,4,1,3,4,5,4,3,1,4,4,5,3,2,3,2,1,4,5,4,1,1,4,5,2,5,4,4,2,4,5,5,4,4,5,2,1,4,1,4,1,2,2,5,4,5,1,5,3,4,5,4,4,4,4,2,1,4,3,4,4,4,3,4,5,2,3,5,5,4,5,2,2,4,4,4,3,3,3,2,3,4,4,3,2,3,4,3,3,1,3,2,1,4,3,2,1,2,2,3,1,4
36,orange,3,538,0,NA,NA,NA,Female,Mixed: Black African and White Italian,20,168cm,68kg,Student,Psychology,High school diploma,0,NA,NA,1,Gymnastics,5,1,"Dancing, drawing",4,0,NA,5,4,2,2,4,4,5,2,4,4,1,3,5,4,3,4,1,4,4,5,4,1,4,5,2,1,4,1,4,2,2,4,5,4,5,2,3,3,1,5,4,2,5,4,1,2,1,1,3,1,4,5,4,1,1,4,4,1,2,3,4,5,3,1,2,5,3,2,5,5,4,5,5,1,2,3,2,2,4,4,2,1,2,2,1,1,3,4,2,3,1,4,2,1,4,1,1,1,1,4,1,1,2,1,1,2,3,1,3,2
37,orange,3,636,1,I looked at the first coherent group and then the random lines. It felt most comfortable.,1,I went to the furthest one first. It made logical sense because then I could pick up the second bucket on my way back.,Female,White European,24,162 cm,NA,Student,Psychology,Undergraduate,0,NA,NA,1,Pole dancing,2-4,1,Reading,21,0,NA,4,5,3,1,2,5,4,4,1,5,2,4,4,5,3,2,1,4,5,5,5,1,4,3,1,4,4,4,2,4,4,3,2,5,5,4,2,4,4,4,2,2,4,4,1,4,4,2,1,2,4,4,5,4,2,4,4,1,4,2,2,1,4,5,5,3,1,3,2,2,4,2,5,4,4,5,2,3,2,4,4,2,2,2,3,4,4,3,2,4,3,3,4,2,4,2,1,2,1,3,1,2,1,1,2,4,1,4,4,4
38,black,1,991,1,I first scanned the side which was filled with lines that were orientated the same way. If the line in question was not on this side I would proceed to the other half. Here I wold either go through the lines horizontally or vertically. Starting from right or left or top or bottom.,1,I first walked to the bucket  furthest away. I would pick up this bucket and on the way back to the starting point I would pick up the bucket located half way and carry both of the buckets to the end/start.,Woman,Caucasian,23,171,60,Student,Economics and Mathematics,Bachelor's degree,0,NA,NA,1,Yoga,4,1,"Reading, baking",4,0,NA,5,4,2,4,2,5,4,1,4,5,1,2,4,2,5,2,4,5,4,5,5,4,2,5,1,1,5,2,3,2,4,4,4,2,4,2,4,5,2,5,4,2,4,4,1,4,5,2,4,1,1,4,4,2,1,5,4,5,2,5,2,4,5,5,1,5,1,4,2,2,4,2,5,4,5,2,1,2,2,5,3,3,3,2,1,2,2,4,4,4,1,3,4,2,4,2,2,1,3,3,2,1,1,2,1,2,2,2,4,3
